year,city,city_temp,global_temp
1995,London,10.55,9.35
1996,London,9.27,9.04
1997,London,10.64,9.20
1998,London,10.40,9.52
1999,London,10.86,9.29
2000,London,10.52,9.20
2001,London,10.18,9.41
2002,London,10.91,9.57
2003,London,10.81,9.53
2004,London,10.77,9.32
2005,London,10.63,9.70
2006,London,11.10,9.53
2007,London,10.83,9.73
2008,London,10.38,9.43
2009,London,10.52,9.51
2010,London,9.38,9.70
2011,London,11.19,9.52
2012,London,10.00,9.51
2013,London,9.91,9.61
